我不想賣~	I don't wanna sell~
人家不要換啦~	I don't wanna trade~
討厭！！	You're mean!!
人家走的\n好好的~	I was walking\njust fine~
你都害人家~	You always pick on me~
請大家\n不要買啦~	Please, everyone,\ndon't buy it~
嗚~\n人家花了好久\n才蓋好的~	Waa~\nIt took me forever\nto build that~
沒有人情味~	So cold-hearted~
嗚~\n人家不管啦	Waa~\nI don't care anymore!
人家\n有事情要辦啦！	I have\nthings to do!
不跟你好了啦！	I'm not talking to you anymore!
唉~\n我自己活該倒楣	Ah~\nI deserve this bad luck
別找我麻煩！！	Don't mess with me!!
這點錢\n都要賒賬~	On credit for such\na small amount~
你太貪心了！	You're too greedy!
嗯！\n要做好朋友喔~	Mm!\nLet's be good friends~
這樣走太慢了！	Walking this slow is crazy!
你們的錢\n就是我的錢！	Your money\nis MY money!
把錢捐給\n有需要的人吧！	Give the money to\nthose in need!
這塊地賣我吧！	Sell me this land!
烏咪\n要跟你換地！	Mimi wants to\ntrade land with you!
烏咪\n想跟你換房子~	Mimi wants to\nswap houses~
耍得你團團轉!	I've got you spinning!
我變我變\n我變變變~	Change, change,\nchange-a-roo~
烏咪要讓這塊地\n換主人~	Mimi will give this land\na new owner~
烏咪要\n請天使出來了!	Mimi is calling\nupon the angel!
烏咪\n請惡魔懲罰你!	Mimi commands the demon\nto punish you!
哈!\n把它夷為平地!	Ha!\nRaze it to the ground!
嘻!\n不拆手癢~	Hee!\nMy fingers itch to demolish~
東西給我!	Gimme your stuff!
不准動!哈哈!	Freeze! Haha!
睡覺時間到了!	Bedtime!
請君保重，\n呵呵!	Take care of yourself,\nheh heh!
代替月亮\n懲罰你!!	In the name of the moon,\nI'll punish you!!
可惡!\n你也別想跑!	Darn you!\nYou're not going anywhere!
請你多多\n擔待吧!	Please forgive me!
土匪啊!\n我才不付呢。	Highway robbery!\nI refuse to pay.
神經!\n害不到我啦!	As if!\nYou can't hurt me!
你走開啦!!	Go away!!
我背你走!	I'll carry you!
喔~~~~\n股票快漲價!	Ooh~~\nStocks are about to rise!
喔~~~~\n股票快跌!	Ooh~~\nStocks are about to fall!
被我抓到了吧!	Gotcha!
