衝啊！\n野牛號！	Charge, Bison!
嗨！寶貝∼\n一起去兜風吧！	Hi sweetheart~\nLet's go for a ride!
替我除掉\n障礙物！	Clear those\nobstacles for me!
此路是我開，\n此樹是我栽∼	This road is mine,\nI planted every tree~
小心！\n步步危機！	Watch out!\nDanger at every step~
送你們一個\n小禮物∼	A little gift\nfor you~
炸得你\n雞飛狗跳∼∼	I'll blow you all\nto smithereens~~
要幾點有幾點！\n開∼	Any number I want!\nGo~
如果再回到\n從前∼	If I could return\nto the past~
瞬間移動！！	Teleport!!
拆除大隊來了！	The demolition crew is here!
各∼位∼觀∼眾\n．．．．。	Ladies~ and~ gentlemen~...
兄弟們！\n上工了∼	Boys!\nTime to work~
誰敢擋我\n去路？！	Who dares block\nmy path?!
誰這麼缺德？！	Who's so heartless?!
我不要∼∼∼	I don't want this~~~
沒駱駝\n就騎車吧！	No camel?\nRide a bike!
我是有車階級！	I'm a car owner!
衝啊！寶貝！	Charge, baby!
道路施工∼	Road work ahead~
嘻嘻！	Hee hee!
送你一個\n愛的禮物∼	A gift of love\nfor you~
瞄準，發射！	Aim, fire!
來個幸運\n數字吧！	Let's have a\nlucky number!
「回到未來」\n看過嗎？	Ever seen\n"Back to the Future"?
愛搬什麼\n就搬什麼！	Move whatever\nyou like!
我懷念廣闊\n的沙漠∼	I miss the open\ndesert~
看我的\n秘密武器∼	Behold my\nsecret weapon~
開工大吉∼	Breaking ground~
被擋住了∼	Blocked~
完蛋了∼	I'm doomed~
我怎麼這麼衰∼	Why am I so unlucky~
沒看過忍者\n騎機車啊？	Never seen a ninja\non a scooter?
帥吧！	Cool, right?
衝啊∼\n開路先鋒！	Onward,\ntrailblazer!
誰都別想過！	No one gets through!
誰踩到誰倒楣！	Step on it and regret it!
要命的\n就別過來！	Come closer\nif you dare!
不想死的\n靠邊站∼	Step aside if you\nwant to live~
未來掌握在\n自己手中。	The future is in\nyour own hands.
我真懷念\n以前的日子。	I miss the old days.
科技的結晶∼	The pinnacle of technology~
讓我來開拓\n人生的大道∼	Let me pave the road\nof my life~
看我的\n終極必殺技∼∼	Watch my ultimate\nfinishing move~~
準備大興土木∼	Get ready for major construction~
別攔我！	Don't stop me!
我慘了∼	I'm in trouble~
快丟給別人！	Pass it to someone else!
架式十足吧！	quite the pose!
懶得走路∼	Too lazy to walk~
娃娃！\n去幫我開路吧！	Doll!\nClear the way!
看我的！！	Take this!!
嘿嘿嘿∼	Hee hee hee~
我又要害人了，\n嘻嘻∼	Time to cause trouble,\nhee hee~
看我的\n木蘭飛彈！	Behold my\nMulan missile!
老娘\n玩玩十八啦∼	Mommy wants to play\nsome roulette~
唉！\n還是從前好。	Ah!\nThe good old days were better.
乾坤大挪移！	Cosmic Shuffle!
違章建築\n怎麼沒人管啊？	Why doesn't anyone\ndeal with these illegal builds?
世界末日到嘍∼	Judgment Day is here~
幹活吧！\n我的奴隸∼	Work, my slave~
勾破絲襪了∼	I snagged my stockings~
啊！\n我的香奈兒∼	Ah! My Chanel~
哇∼\n快要爆了！	Wow~\nIt's about to blow!
騎噴射鐵馬\n來去！	Riding the rocket\nbike, here I come!
老伙啊\n未堪著用行ㄟ！	Old thing ain't\ngood for riding!
呼伊去∼	Off you go~
甲我凍咧	Wait right there!
大家卡注意ㄟ！	Everybody, watch out!
看誰人卡衰？	Who's the unlucky one?
卡有氣魄耶！	Gotta have guts!
搖幾點卡好？	What number should I roll?
嘸算嘸算，\n重來啦	No way, no way!\nLet me redo that!
這是蝦米？	What's this?
人抓厝拆∼	Game over, house down~
乎我爆到\n就吃力了喔！	You'll be in trouble\nif I blow up!
兄弟啊∼\n卡打拼ㄟ！	Brothers~\nLet's hustle!
麥凍路啦！	Get out of the way!
誰人放的！！！	Who put this here!!!
猴死囝仔！	You little rascal!
香車配美人∼	A fancy car for\na beauty~
本公主\n還欠個司機∼	This princess still\nneeds a chauffeur~
替我開路吧！\n娃娃兵！	Clear the way,\nrobot kids!
任何人\n都不許通過。	No one\ngets through.
別怪我！！	Don't blame me!!
倒數計時開始∼	The countdown begins~
你們\n大難臨頭了！	You're all\ndoomed!
我的\n幸運數字是？	What's my\nlucky number?
昨日多麼美好∼	Yesterday was beautiful~
想不到\n有這一招吧？	Did you expect\nthis trick?
本公主\n要一路拆過去∼	This princess will\ndemolish everything in my path~
人不為己，\n天誅地滅∼	Look out for yourself,\nor heaven destroys you~
勤快點！\n本公主\n會親自驗收！	Work hard!\nThis princess will\ninspect it personally!
誰敢擋本公主？	Who dares block this princess?
不會吧？！	No way?!
誰來把它拿走？	Who will take it away?
去吧，\n我的HONDA！	Go, my HONDA!
去吧，\n我的TOYOTA！	Go, my TOYOTA!
嗶嗶嗶，\n交給我來！	Beep beep beep,\nleave it to me!
