%s\n\n%d元稅金！	%s\n\nTax: $%d!
%s\n\n%d點點券！	%s\n\n%d points!
%s\n\n償還銀行貸款\n\n%d元	%s\n\nRepaid bank loan\n\n$%d
%s\n\n免罪卡生效！	%s\n\nImmunity Card in effect!
%s\n\n升級費用:%d元\n\n是否升級？	%s\n\nUpgrade cost: $%d\n\nUpgrade?
%s\n\n向銀行貸款\n\n%d元	%s\n\nBorrowed from bank\n\n$%d
%s\n\n嫁禍卡生效！	%s\n\nFrame-Up Card in effect!
%s\n\n屬%s與%s\n\n請付%d元%s	%s\n\nOwned by %s and %s\n\nPay $%d %s
%s\n\n幫主%s\n\n請付%d元%s	%s\n\nGang boss %s\n\nPay $%d %s
%s\n\n強制償還%d元\n\n銀行特別融資！	%s\n\nForced repayment of $%d\n\nSpecial bank financing!
%s\n\n您的投保天數為...	%s\n\nYour insurance term is...
%s\n\n此地屬%s\n\n請付%d元%s	%s\n\nOwned by %s\n\nPay $d %s
%s\n\n每股售價%d\n\n是否認購股份？	%s\n\nShare price: $%d\n\nBuy shares?
%s\n\n董事長%s\n\n請付%d元%s	%s\n\nChairman %s\n\nPay $%d %s
%s\n\n請進來休息...	%s\n\nCome in and rest...
%s\n\n買進%s%d張	%s\n\nBought %s, %d shares
%s\n\n費用:%d元\n\n是否買下此地？	%s\n\nPrice: $%d\n\nBuy this land?
%s\n\n送您出國旅遊...	%s\n\nSending you abroad...
%s作祟\n\n倒霉加倍！	%s haunts:\n\ndouble trouble!
%s作祟\n\n罰金加倍！	%s haunts:\n\ndouble fine!
%s保佑\n\n免付罰金！	%s blesses:\n\nfine waived!
%s保佑\n\n逃過此劫！	%s blesses:\n\ndisaster averted!
%s得到%d元	%s received $%d
%s的旅館\n\n請進來休息...	%s's Hotel\n\nCome in and rest...
%s的購物中心\n\n您的消費倍數為...	%s's Mall\n\nYour spending multiplier is...
%s繳交%d元	%s paid $%d
2.重回侏儸紀	2. Jurassic Rebirth
3.夢幻伊甸園	3. Dreamy Eden
4.打拼為將來	4. Working for Tomorrow
5.椰林風情畫	5. Palm Grove Scene
6.浪漫月世界	6. Romantic Moon World
7.熱情的夏夜	7. Passionate Summer Night
8.漫步星空下	8. Strolling Under the Stars
B銀行暫停放款\n\n還剩%d天！	Bank lending suspended:\n\n%d days left!
C買進	Buy
Lucky！\n運氣不錯！	Lucky!\nNice luck!
\n也要跟我拿~	...you want some too~
\n來花花吧！	...come spend it!
\n堅固喔！	...sturdy!
\n報應不爽！	...karma strikes!
\n才能兌換！	...to redeem!
\n法律的制裁吧！	...the judgment of the law!
\n的機會！	...a chance!
\n老娘便宜！	...advantage of me!
\n自由自在！	...free as a bird!
\n要注意！	...be careful!
\n都要賒賬~	...on credit~
∼\n別忌妒我啊！	~\nDon't be jealous!
∼\n我自己活該倒楣	~\nI deserve this bad luck
一張卡片	A card
一支\n股票好呢？	Which\nstock to pick?
三井生命	Mitsui Life
三菱工業	Mitsubishi Industries
三葉蟲百貨	Trilobite Department Store
三越百貨	Mitsukoshi
上帝保佑~	God bless~
下次再給你~	I'll pay you next time~
下次就沒\n這麼好運了！	You won't be so lucky next time!
不公平！	Not fair!
不准動！哈哈！	Freeze! Haha!
不必受寵若驚！	Don't be so flattered!
不想跟你換\n都不行！！	Like it or not, we're trading!!
不用出國！	No need to go abroad!
不著\n蝕把米~	...came home shorn~
不要吵~~	Quiet~~
不要啦~	No way~
不要害人家啦~	Stop hurting me~
不要找我~	Don't come to me~
不要掉到\n水溝裡去喔！	Don't fall in a ditch!
不要緊~	It's fine~
不賴嘛~	Not bad~
不跟你好了！！	I'm not talking to you anymore!
不過是\n運氣差了點~	It was just a bit of bad luck~
不過開開玩笑！	Just kidding!
不錯嘛！	Not bad!
不願行了！	I won't go!
乃身外之物~	...fleeting worldly things~
也不給你！	...not for you!
也要省？！	...saving pennies?!
了~	...ed~
了！	...done!
人~	someone~
