有錢大家花！	Money for everyone!
朋友有\n通財之義！	We're friends —\nwhat's yours is mine!
讓我把它\n據為己有！！	I'll take it\nfor myself!!
黃金地段\n讓給你！！	I'll give you this\nprime land!!
給你面子\n才跟你換的喔！	I'm only trading\nout of respect for you!
向後轉！\n齊步走！！	About face!\nMarch!!
不必謝我！！	No need to thank me!!
漫天喊價\n就地還錢！	Charge the sky,\nsettle on the cheap!
喔！\n哈利路亞！	Oh!\nHallelujah!
嗚！\n邪惡的使者∼	Woe!\nAgents of evil~
全部夷為\n平地！！	Raze it all\nto the ground!!
真礙眼！！！	What an eyesore!!!
把值錢的東西\n交出來！！	Hand over your\nvaluables!!
不許動！！	Freeze!!
早睡早起\n身體好！	Early to bed,\nearly to rise!
睡吧睡吧∼	Sleep, sleep~
去吃牢飯吧！！	Enjoy prison food!!
拖你一起\n下水！！	I'll drag you down\nwith me!!
怕你不成！！！	As if I'm scared!!!
有錢也不給你！	Not even if I'm rich!
想抓我\n還早得很呢！	You're far from\ncatching me!
快滾！\n我不需要你！	Get lost!\nI don't need you!
快來幫我吧！	Someone help me!
跟著我買股票\n準沒錯！	Follow my stock picks\nand you can't lose!
這支股票\n太貴了！！	This stock is\nway too expensive!!
別想逃漏稅！	Don't even think about tax evasion!
小本經營\n恕不賒欠！！	Small business —\nno credit!!
年度回饋，\n全面免費！	Annual customer\nappreciation, everything free!
好哥兒們！！	Buddy!!
瞧你那溫吞\n的模樣！	Look how sluggish\nyou are!
回去巡視一下！	Go check the premises!
蓋什麼好呢？	What should I build?
一動不如一靜！	Better to sit still\nthan make a bad move!
慢慢走\n比較保險！	Walking slowly\nis safer!
喔！\n我的血汗錢！！	Oh!\nMy hard-earned money!!
好大的膽子！！	You've got some nerve!!
誰敢動我的地！	Who dares touch my land!
太不給面子了！	You have no respect!
好馬不吃\n回頭草！！	A good horse never\neats grass behind it!!
竟然破壞\n我的好事？！	You dare ruin\nmy plans?!
誰敢買試試看！	Try buying it — I dare you!
拆得還真乾淨∼	Torn down nice and clean~
你皮在癢啊？	You asking for trouble?
竟敢在太歲\n頭上動土？！	How dare you kick\nthe hornet's nest?!
嗚！\n被關禁閉了！	Woe!\nI'm locked up!
哼！出獄後\n又是一條好漢！	Hmph! Out of jail,\nI'll be back on my feet!
唉！\n損人不利己∼	Ah!\nHurting others, gaining nothing~
喂！\n有沒有搞錯啊？	Hey!\nWhat's wrong with you?
算了！\n老子有的是錢。	Whatever!\nI've got money to burn.
算你狠！！	You're ruthless!!
可別想占我\n便宜！	Don't try to take\nadvantage of me!
急驚風遇到\n慢郎中∼	Impatience meets\nslowness~
四海之內\n皆兄弟！	All men\nare brothers!
拿些錢來\n週轉週轉吧！	Lend me some money\nto tide me over!
喜歡就給它\n買起來！	If you like it,\nbuy it all up!
今天是搬家的\n好日子！	Today's a great day\nfor moving!
你的房子比較\n堅固喔！	Your house is\nsturdier!
此路不通！	ROAD CLOSED!
幫你一個忙∼	Let me do you a favor~
生活困難，\n賣屋求現∼	Hard times — selling\nthe house for cash~
阿拉真主！\n請派使者降臨！	Allah, send down\nyour messenger!
讓你們嚐嚐\n惡魔的厲害！	Taste the power\nof the demon!
全都給我拆了！	Tear it ALL down!
違章建築，\n隨報隨拆！	Illegal construction —\ndemolished on sight!
好東西要與\n好朋友分享！	Good things are meant\nto be shared with friends!
留下來\n讓我款待！	Stay and let me\ntreat you!
祝你們有一個\n好夢∼	Sweet dreams\neveryone~
睡∼\n深深熟睡∼	Sleep...\ndeep, deep sleep~
法網恢恢\n疏而不漏！	The net of justice\nis vast, but nothing escapes!
這下你\n高興了吧！！	Happy now?!
幸好有\n代罪羔羊∼	Good thing there's\na scapegoat~
能省則省！	Save where you can!
想害我？\n門都沒有！！	You want to hurt me?\nNot a chance!!
您去忙您的吧！	Go attend to your business!
天靈靈地靈靈！	Spirits above,\nspirits below!
我是護盤高手！	I'm a market-support master!
我是操盤高手！	I'm a trading master!
閒閒沒事\n繳繳稅吧！	Nothing to do?\nPay some taxes then!
反應成本\n適度調漲∼	Raising prices reflectively\nto match costs~
黑店誰要去啊？	Who'd go to such a crooked shop?
團結力量大！	Unity is strength!
趕著去\n投胎啊？！	Rushing to your\nnext life?!
掉頭為妙！	Best turn around!
換換口味好了∼	Time for a change of pace~
喘死了！\n休息一下！	Exhausted!\nTime for a rest!
胖子走路\n比較慢∼	Big guys walk slower~
為什麼是我？！	Why me?!
有沒有天良啊？	Have you no conscience?
搞什麼鬼啊？	What the heck?
不要啦！那房子\n會漏水耶！	No! That house\nhas a leaky roof!
我不想走\n回頭路~	I don't want to\ngo back~
給我改回來！！	Change it back!!
至少也出個\n好價錢∼	At least offer a\ngood price~
破壞大王！！	Master of Destruction!!
你就不能\n手下留情嗎？	Couldn't you go\neasy on me?
你真是\n太沒品了~	You're truly\nbeneath contempt~
嗚！寸步難移~	Woe! Can't move an inch~
抓錯人了啦！！	You got the wrong person!!
哼！我高興\n我喜歡我愛∼	Hmph! I do what I want, when I want~
我招誰惹誰啊？	What did I ever do to anyone?
吝嗇鬼！！！	Miser!!!
我已經繳過了！	I already paid!
好啦！\n不收你的錢啦！	OK, OK!\nI won't charge you!
散散步也好∼	A stroll wouldn't hurt~
大家不用\n感謝我！	No need to\nthank me!
朋友之間\n別計較太多！	Friends shouldn't\nsweat the details!
這塊地不錯喔！	Nice plot of land!
換換風水吧！	Time for a change of feng shui!
把房子過戶\n給我吧！	Hand the house\nover to me!
道路施工，\n敬請改道！	Road work ahead.\nPlease detour!
請包商來\n估個價吧！	Call a contractor\nto get an estimate!
要喝西北風了！	We'll be eating nothing!
給你好看！！	I'll teach you!!
你們的\n報應來了！	Karma has come\nfor you!
哥吉拉∼∼∼	GODZILLA~~~
就是看你\n不順眼！	I just don't\nlike you!
要錢要命\n要老婆？	Money, your life,\nor your wife?!
讓我盡盡\n地主之誼！	Let me do my duty\nas your host!
安息吧！	Rest in peace!
