土地！	Land!
土伯	Uncle Tudi
土伯購得此地！	Uncle Tudi bought this land!
夫人	Madame
夫人購得此地！	Madame Qian bought this land!
土匪啊！\n我才不付呢。	Highway robbery!\nI refuse to pay.
坐牢%d天	Jailed %d days
坐牢中	In jail
住院中	In hospital
住院檢查三天	Hospitalized for 3 days
冬眠中	Hibernating
夢遊中	Sleepwalking
買地！買地！	Buy land! Buy land!
換地！換地！	Trade land! Trade land!
換間屋子吧！	Let's swap houses!
轉向，轉向！	Turn! Turn!
給我改建吧！	Renovate it for me!
拍賣當格土地	Auction this land
變賣所有卡片	Sell all cards
變賣所有道具	Sell all items
變賣所有卡片道具	Sell all cards & items
命運三張	Three cards of Fate
立刻坐牢三天	Jail for 3 days at once
原地停留一回合	Stay in place for a turn
存入所有現金	Deposit all cash
就地加蓋房屋	Add a floor right here
得一張卡片	Get a card
向後轉	About face
就地拆除房屋	Demolish a floor
得十點	Get 10 points
得三十點	Get 30 points
得五十點	Get 50 points
得點券%d點	Get %d points
得點券１０點	Get 10 points
得點券３０點	Get 30 points
得點券５０點	Get 50 points
得到５００點券！	Got 500 points!
得到%s！	Got %s!
見風轉舵！	Blow with the wind!
重新裝潢吧！	Time for a remodel!
我想歇歇腳~	I want to rest my feet~
人生\n何必太匆匆！	Why rush through life!
我的錢~	My money~
衰啊~	So unlucky~
警方！	POLICE!
使用卡片	Use Cards
使用道具	Use Items
交易	Trade
股市	Stocks
開發道具	Development Items
個  性	Personality
資金運用比例	Fund Allocation
出售的張數	Shares to sell
持有股數表	Shareholdings
股 價 表	Price Table
股  票	Stocks
股票資料	Stock Info
資金資料	Fund Info
日期更改	Change Date
切換選項	Switch Option
切換視窗組	Switch Windows
音 樂	Music
音 效	Sound
樂  曲	Tunes
視  窗	Windows
暫停交易	Trading Halted
成交價	Last Price
持有股數	Shares Held
平均成本	Avg Cost
本日休市	Market Closed Today
月均價	Monthly Avg
餘股:%d	Shares left: %d
數  %d	No. %d
%d天	%d days
%d月	Month %d
%d張	%d shares
%d元	$%d
%d點	%d points
%s元	$%s
%s您好	Hello, %s
×%d	x%d
購買	Buy
賣方	Seller
放棄	Give up
標價：	Asking price:
原因：	Reason:
本月意外損失：	Accidental losses this month:
本月意外之財：	Unexpected windfall this month:
本月倒楣天數：	Unlucky days this month:
現金：	Cash:
存款：	Savings:
總資產：	Net worth:
利息：	Interest:
貸款中	Loan outstanding
消失中	Vanished
房屋查封中\n\n免收%s！	Under foreclosure —\nno %s charged!
與%s同盟中\n\n免收%s！	Allied with %s —\nno %s charged!
死神顯靈\n\n免收%s！	Death manifests —\nno %s charged!
%s住宿中\n\n免收%s！	%s is lodging —\nno %s charged!
%s消失中\n\n免收%s！	%s is vanished —\nno %s charged!
%s坐牢中\n\n免收%s！	%s is in jail —\nno %s charged!
%s住院中\n\n免收%s！	%s is hospitalized —\nno %s charged!
%s冬眠中\n\n免收%s！	%s is hibernating —\nno %s charged!
%s夢遊中\n\n免收%s！	%s is sleepwalking —\nno %s charged!
小財神顯靈\n\n%s減免一半！	Lesser Fortune God appears:\n%s halved!
大財神顯靈\n\n免付%s！	Great Fortune God appears:\nno %s charged!
小窮神顯靈\n\n%s加付50％！	Lesser Poverty God appears:\n%s +50%!
大窮神顯靈\n\n加倍付%s！	Great Poverty God appears:\n%s doubled!
死神顯靈\n\n由%s賠償%s	Death manifests:\n%s pays %s
>%s住宿中\n\n還剩%d天！	>%s is lodging\n\n%d days left!
%s消失中\n\n還剩%d天！	%s is vanished\n\n%d days left!
%s坐牢中\n\n還剩%d天！	%s is in jail\n\n%d days left!
%s住院中\n\n還剩%d天！	%s is in hospital\n\n%d days left!
%s冬眠中\n\n還剩%d天！	%s is hibernating\n\n%d days left!
你損失減半。	Your losses are halved.
你投資事半功倍！	Your investments work twice as well!
身\n\n得到%s！	possessed:\n\nGot %s!
身\n\n得到%s及%s！	possessed:\n\nGot %s and %s!
掉了。	Dropped it.
有我小小衰神，害你一事無成。	I am the little Misfortune God —\nyou will accomplish nothing!
身\n\n遺失%s！	possessed:\n\nLost %s!
哈哈哈！真是好衰啊！	Hahaha! What terrible luck!
身\n\n遺失一半卡片！	possessed:\n\nLost half your cards!
哈雷路亞~\n\n我將使您落腳的土地更加繁榮。	Hallelujah~\n\nI will bless your land with prosperity.
哈~哈~與我同生共死。\n\n我要沿路破壞你所經過的土地。	You live and die with me~\n\nI will destroy every land you pass!
，有土斯有財\n\n我就是土地公公。\n\n有我在，你想要多少土地就有多少。	With land comes wealth —\n\nI am the Earth God.\n\nWith me around, take all the land you want!
嘿嘿嘿嘿﹒﹒你慘了！\n\n被我盯上，你完蛋了。	Heh heh heh... you're finished!\n\nOnce I've got my eye on you, it's over!
%s顯靈\n\n加蓋一層房屋！	%s manifests:\n\none floor added!
小惡魔顯靈\n\n拆毀一層房屋！	The little demon manifests:\n\none floor demolished!
投「機」人，\n你們要小心嘍！	Speculators,\nwatch out!
看誰人卡衰？	Who's the unlucky one?
麥凍路啦！	Get out of the way!
呼伊去~	Off you go~
甲我凍咧	Wait right there!
世界大飯店	World Hotel
中國人壽	China Life
中國信託	Chinatrust
中國石油	CPC Petroleum
乃身外之物~	Fleeting worldly things~
之內\n皆兄弟！	within the seas,\nall are brothers!
乎你魯死！	I'll pester you to death!
交易	Trade
人~	someone~
人不是阮殺的~	I didn't kill anybody~
人家\n不是故意的~	I didn't\ndo it on purpose~
人家不管啦！	I don't care anymore!
人家不要換啦~	I don't wanna trade~
人家付不起啦!	I can't afford it!
人家很窮的!	I'm very poor!
人家是無辜的~	I'm innocent~
人家的房子~	My own house~
人家真能幹!	I'm so capable!
人家變成\n急凍人了啦!	I'm frozen solid!
人家走的\n好好的~	I was walking\njust fine~
人家\n有事情要辦啦！	I have\nerrands to run!
人無橫財不富!	No windfall, no wealth!
人生不如意\n十有八九~	Life rarely goes as you wish~
人點水之恩，\n必當湧泉已報！	A drop of kindness must be repaid\nwith a rushing spring!
人！	...body!
什…什麼？！	W-what?!
什麼鳥不生蛋\n的地嘛。	What a godforsaken wasteland.
今夜做夢\n也會笑~	I'll smile even in my dreams~
代替月亮\n懲罰你！！	In the name of the moon,\nI'll punish you!!
任天堂	Nintendo
休息%d天\n\n費用%d元！	Rest %d days\n\nfee $%d!
休息是為了走\n更長的路！	Rest is preparation for a longer road!
住手！住手呀！	Stop! Stop it!
住院檢查三天	Hospital checkup, 3 days
你…\n你這個強盜！	You... you bandit!
你不會\n憐香惜玉啊？！	Have you no gentleness at all?!
你不能\n這樣對我！	You can't do this to me!
你也配\n跟我同盟？！	You dare ask for an\nalliance with ME?!
你休想得逞！	You won't get away with it!
你住	...reside!
你們嚐嚐\n惡魔的厲害！	Taste the demon's power!
你們有得瞧囉！	You're in for a show!
你們都不是\n對手！！	None of you can match me!!
你們都不是\n烏咪的對手啦！	None of you can match Mimi!
你品味真差！！	You have terrible taste!!
你家開黑店啊？	Running a crooked shop?
你憑什麼\n抽我稅？！	What gives you the right\nto tax me?!
你投資事半功倍！	Your investments go twice as far!
你捺ㄟ這失德！	How could you be so shameless!
你損失減半。	Your losses are halved.
你敢有納稅？	Have you paid your taxes?
你有夠討債！！	You're such a burden!!
