我才不付！	No way I'm paying!
這不算什麼！	It's nothing!
走開！	Go away!
請過來！	Come here!
我會轉運的！	My luck will turn!
看我的！	Watch this!
我會給你\n收據的！	I'll give you\na receipt!
太好賺了~	Easy money~
結束營業！	Closed for business!
嗨！我的朋友！	Hi, my friend!
減速慢行！	Slow down!
快迴轉！	U-turn, now!
隆重開幕！	GRAND OPENING!
休息一下！	Take a break!
別走太快！	Don't walk too fast!
拿去吧~	Here you go~
喔！虧大了！	Oh! I lost big!
你會\n得到報應的！	You'll get\nwhat's coming to you!
你竟敢\n這樣對我！	How dare you\ntreat me like this!
我要告訴我爸！	I'm telling my dad!
我恨你！	I hate you!
我會要回來的！	I'll get it back!
怪物！！！	MONSTER!!!
沒什麼~	Whatever~
警察！！！	POLICE!!!
讓我走！！	Let me go!!
救命啊！	HELP!
真倒楣！	So unlucky!
為何是我？	Why me?
給我錢！！	Gimme your money!!
強盜！	ROBBER!
嗨！擊個掌！	Hi! High five!
喂！	HEY!
別忌妒我！	Don't be jealous!
鴻運當頭！	Fortune smiles upon me!
運氣不差！	Not bad luck!
我慘了	I'm ruined
唉呦喂呀	Oh my goodness
死不了人的	No one dies from this
這是我應得的！	I deserve this!
我是全球首富	I'm the richest person on Earth
蠅頭小利~	Peanuts~
老本都快沒了~	My savings are almost gone~
真沒良心！	Have you no shame!
拿去啦，\n不用找了~	Take it,\nkeep the change~
上帝保佑~	God bless~
耶穌保佑	Jesus saves
letitbe	Let it be
我真佩服自己	I'm so proud of myself
我是個大地主	I'm a big landowner
我要稱霸一方了	I'm going to rule these parts!
兄弟，\n我記住你了	Buddy,\nI won't forget this
放我出去！	Let me out!
我不要打針！！	I don't want a shot!!
不要吵~~	Quiet~~
別鬧了！	Cut it out!
一場惡夢~	A nightmare~
哈哈！\n勝利總是在\n正義的一方！	Haha!\nVictory always\nto the just!
不過是\n運氣差了點~	It was just\na bit of bad luck~
我要再接再勵，\n永往直前！	I'll keep trying\nand press on!
阿拉真主！\n我讚美你！	Allah!\nI praise you!
感謝阿拉！	Praise be to Allah!
運氣好而已啦~	Just good luck~
OH~NO！	OH~NO!
比減肥\n更讓我痛苦！！	Worse than\ndieting!!
人生不如意\n十有八九~	Life rarely goes\nas you wish~
呵~\n別忌妒我啊！	Heh~\nDon't be jealous!
我可是正正當當\n的賺錢喔！	I earn my money\nhonestly!
嗯~\n聚沙成塔！	Mm~\nEvery little bit counts!
我的心臟病\n要發作了~	My heart\nis giving out~
我會把它\n賺回來的！！	I'll earn it\nall back!!
真捨不得！	So hard to let go!
該你的\n還是會給你的！	What's owed to you\nwill come to you!
賺到了！	Cha-ching!
能省則省。	Save where you can.
大家別打\n這棟房子\n的主意喔！	Don't anyone get ideas\nabout THIS house!
可別眼紅哪~	Don't be jealous~
羨慕吧！！	Envious?!!
我怎麼會\n栽在你手上？	How did I end up\nbeaten by YOU?
還剩幾天？	How many days left?
我要特別看護！	I want a private nurse!
呼嚕呼嚕~	Snore, snore~
我背不動你！！	I can't carry you!!
累贅終於走了~	The burden is finally gone~
我的付出\n終於得到回報！	My efforts finally\npaid off!
這怎麼可能？！	How is this possible?!
我要東山再起！	I'll make a comeback!
大吉大利！	Great fortune!
也該輪到我了！	It's my turn now!
太感激了！	A thousand thanks!
天亡我也~	The heavens have forsaken me~
面對現實吧~	Face reality~
為什麼\n要這樣對我？	Why would you\ndo this to me?
錢我多的是！	I've got money to spare!
謝謝~	Thank you~
聊勝於無！	Better than nothing!
哇！囊空如洗~	Wow! I'm flat broke~
我已經\n忍無可忍了！	I've had\nabsolutely enough!
別跟\n鐵公雞要錢！	Never ask a miser\nfor money!
拔一毛以利\n天下不為也！	He won't pluck a single hair\nto help the world!
真是對不起！	I'm truly sorry!
省起來\n當老婆本！	Saving up for a\nwedding fund!
值得慶祝！	This calls for a celebration!
土地\n是多多益善！	Land — the more\nthe better!
房子\n沒人會嫌多~	Nobody complains about\nhaving too many houses!
君子報仇\n三年不晚！	A gentleman's revenge\ncan wait three years!
放我自由~	Set me free~
男兒有淚\n不輕彈~	Real men don't cry easily~
zzZZZ\nΖΖΖΖ	zzZZZ\nZZZZ
去找別人！！	Go find someone else!!
厄運終於\n離我遠去！	The bad luck has\nfinally left me!
努力是有\n代價的！	Hard work pays off!
富貴如浮雲~	Riches are fleeting clouds~
百折不撓，\n堅毅必勝！	Persevere and\nvictory is yours!
今夜做夢\n也會笑~	I'll be smiling\neven in my dreams tonight~
我是幸運女神！	I am the Goddess of Luck!
不賴嘛~	Not bad~
天啊~	God~
讓我死了吧！	Just kill me now!
我的媽媽呀！	Oh my goodness!
帥呆了！	Looking sharp!
噱海了！	Making a killing!
賺翻了！	Raking it in!
豈有此理！	Outrageous!
不能打折嗎！！	Can't I get a discount!!
為什麼？	Why?
撿回一條命！	Dodged a bullet!
真走運！	Such luck!
好險~	That was close~
算你便宜一點，\n快來吧！	I'll lower the price,\ncome on over!
哈哈哈！\n勝利在望！	Hahaha!\nVictory is near!
不怕死的\n就過來！	Come here\nif you dare!
老娘跟你沒完！	This isn't over!
放我出去！！！	LET ME OUT!!!
唉！真倒霉	Ah! Such bad luck
zzZZZZ\nＺＺＺ	zzZZZZ\nZZZ
難道是\n我太有魅力？	Is it because\nI'm just too charming?
離我遠一點！	Stay away from me!
來賓請掌聲鼓勵！	A round of applause, please!
哇~我要過\n少奶奶的生活！	Wow~ time to live\nthe life of luxury!
我錢夫人不會\n就這麼放棄的！	Madame Qian does not\ngive up that easily!
福氣啦！	What luck!
歹勢啦！	My bad!
真好運！	Real lucky!
捺會按呢？？	How could this be??
有影嘸？！	Are you serious?!
嘸蝦米！	No shrimp!
貪財！貪財！	Greedy! Greedy!
嘸魚蝦也好！	Even little shrimp will do!
加減賺！	Every bit counts!
我苦！	Such suffering!
真衰~	So unlucky~
哇~真歹命！	Waa~ such a hard life!
天公伯保佑！	Heaven protect us!
憨人有憨福！	Fools have their own luck!
好哩家在！	Thank goodness!
大家有閒\n來坐喔！	Stop by anytime!
來泡茶啦!	Tea time!
樓仔厝起歸排!	Build a whole row of townhouses!
你家開黑店啊?	You running a crooked shop?
冤枉啊!	Unfair!
唉喲喂呀~	Oy vey~
鼾鼾~	Zzz~
啊!悽慘落魄~	Ah! Utterly wretched~
早就好走啊~	Should've walked ages ago~
天公疼憨人!	Heaven loves fools!
火燒罟寮\n嘸魚網~	The net shack burned,\nno fishing nets~
愛拼才會贏!	You've gotta fight to win!
福星高照!	Lucky star shining!
