慢慢來\n才不會跌倒	Go slow and you\nwon't fall
換個角度\n看世界!	See the world from\na different angle!
換個生意\n作作也好~	A different business\nmight be nice~
腳好酸喔~	My feet are sore~
本公主\n要欣賞風景!	This princess wants\nto enjoy the view!
你這樣\n還叫窮啊?!	YOU call that poor?!
誰要賣你!!	Who'd sell to you!!
什麼鳥不生蛋\n的地嘛.	What a godforsaken\nwasteland.
不想跟你換\n都不行!!	Like it or not,\nwe're trading!!
我走回去幹麼?	Why would I walk back?
給我當心點	Watch yourself
淑女報仇，\n三分鐘不晚	A lady's revenge\ncan wait three minutes
我的洋房~	My villa~
沒關係!	It's fine!
我要告你!!	I'll sue!!
人家變成\n急凍人了啦!	I'm frozen solid!
我饒不了你!!	I'll never forgive you!!
唉!害人反害己	Ah! The schemer\nhoists himself
真是無妄之災!	Such undeserved misfortune!
下次就沒\n這麼好運了!	You won't be so lucky\nnext time!
真是吸血鬼~	Such a bloodsucker~
你也配\n跟我同盟?!	You dare seek an\nalliance with ME?!
小心能駛\n萬年船~	Steady hands\nsail for ten thousand years~
哈囉，分錢哦!	Hello! Time to split the money!
抱歉抱歉，\n您沒事吧?	Sorry, sorry!\nAre you OK?
買地!買地!	Buy land! Buy land!
換地!換地!	Trade land! Trade land!
換間屋子吧!	Let's swap houses!
轉向，轉向!	Turn around, turn around!
給我改建吧!	Renovate it for me!
大拍賣!\n大拍賣!	BIG SALE!\nBIG SALE!
阿門!	Amen!
喔啦喔啦\n喔啦喔啦~	Oh-la oh-la\noh-la oh-la~
哥基拉,上!	Godzilla, attack!
把你拆得\n稀巴爛!	I'll smash you\nto bits!
謝啦,謝啦!	Thanks! Thanks!
給我停!	STOP!
晚安~	Sweet dreams~
做個好夢吧~	Sweet dreams~
莎唷那拉,\n再見!	Sayonara,\ngoodbye!
復仇給你看!?	Revenge served cold!?
為我而死吧!	Die for me!
哎呀,我真是\n太受歡迎了!	Oh my, I'm just\nSO popular!
呼呼呼,\n我是無敵的!	Hoo hoo hoo,\nI am invincible!
拜拜,我的神~	Bye-bye, my god~
出來吧,\n我的神!	Come forth,\nmy god!
全壘打!	Home run!
怪醫黑傑克!	Black Jack!
喂喂,繳稅繳稅	Hey hey, taxes, taxes
漲!漲!	Rise! Rise!
跌!跌!	Fall! Fall!
喔喔,\n我親愛的摯友~	Ohhh,\nmy dearest friend~
脖子伸長點\n慢慢等吧!	Craning your neck and\nwaiting in vain!
回去吧!	Go back!
重建!\n我要重建!	Rebuild!\nI want to rebuild!
等一等~	Wait a moment~
欲速則不達!	Haste makes waste!
可惡,\n兩袖清風了啦!	Darn it,\nI'm flat broke!
可恨,\n給我記著!	Damn you,\nyou'll remember this!
什…什麼?!	W-what?!
真…真的？	R-really?
啊？	Huh?
喂喂喂!\n我的房子呀!	Hey hey hey!\nMy house!
啥？	Wha?
哇呀呀,不好!	Waaah, this is bad!
住手!住手呀!	Stop! Stop it!
你…\n你這個強盜!	You...\nyou bandit!
可惡！	Damn it!
混帳東西，\n敢對我這樣？	You wretch,\nhow dare you!
別開玩笑了！	You must be joking!
放開我，\n放開我！	Let go,\nlet go!
嘖！	Tsk!
糟糕，不妙！	Oh no, this is bad!
喂，\n有什麼企圖…？	Hmm,\nwhat are you up to...?
我不要啊∼！	I don't want to~!
我想買糖吃~	I want candy~
生氣會長\n皺紋喔！	Anger gives you\nwrinkles, you know!
好想要耶~	I want it so bad~
你的好像\n比較好~	Yours looks\nbetter~
我的\n漂亮房子讓你住	You can stay in my\nlovely house
想要\n回去看看嗎？	Want to go back\nand have a look?
開個小玩笑！	Just a little joke!
房價狂飆，\n不賣可惜！	Prices are soaring —\nit's a waste not to sell!
我來為\n大眾服務！	Here to serve\nthe public!
我要消除禍害！	I'll rid us of this menace!
令人期待\n的一刻！！	The moment\nwe've been waiting for!!
遵照都市計畫\n建設好嗎？	Shall we build according\nto the city plan?
借用一下！	Borrowing this!
就地休息\n一下吧！	Let's rest\nright here!
眾人皆睡\n我獨醒~	While everyone sleeps,\nI alone am awake~
還亂跑？\n你該上床了！	Still wandering?\nTime for bed!
呵呵！\n休息幾天吧！	Heh heh!\nRest up for a few days!
要怪先怪自己吧	Blame yourself first
不是故意的，\n別怪我喔	Didn't mean it —\ndon't blame me
請人家一下嘛！	Please, just this once!
好壞喔，\n想害人家~	So mean,\ntrying to hurt me~
啊哈去吧∼\n沒什麼了不起∼	A-ha, go~\nIt's nothing~
我需要幫忙！！	I need help!!
選哪一支\n股票好呢？	Which stock\nshould I pick?
趕快脫手\n以免套牢喔！	Sell fast before\nyou're stuck holding!
納稅是國民\n應盡的義務！	Taxes are every\ncitizen's duty!
這樣\n才合乎成本嘛！	That's what it costs\nto make money!
做做善事吧！	Do a good deed!
我們是\n同一國的！	We're on\nthe same side!
你走的很\n悠閒嘛！	You're walking\nrather leisurely!
見風轉舵！	Blow with the wind!
重新裝潢吧！	Time for a remodel!
我想歇歇腳~	I want to rest my feet~
人生\n何必太匆匆！	Why rush\nthrough life!
我的錢~	My money~
